module,date,start
Module 1-1,8/26/21,TRUE
Module 1-2,8/31/21,FALSE
Module 1-3,9/2/21,FALSE
Module 1-4,9/7/21,FALSE
Module 2-1,9/9/21,TRUE
Module 2-2,9/14/21,FALSE
Module 2-3,9/16/21,FALSE
Module 2-4,9/21/21,FALSE
Module 2-5,9/23/21,FALSE
Module 3-1,9/28/21,TRUE
Module 3-2,9/30/21,FALSE
Module 4-1,10/5/21,TRUE
Module 4-2,10/7/21,FALSE
Module 4-3,10/12/21,FALSE
Module 4-4,10/14/21,FALSE
Module 5-1,10/19/21,TRUE
Module 5-2,10/21/21,FALSE
Module 6-1,11/2/21,TRUE
Module 6-2,11/4/21,FALSE
Module 6-3,11/9/21,FALSE
Module 6-4,11/11/21,FALSE
Module 7-1,11/16/21,TRUE
Module 7-2,11/18/21,FALSE
Module 8-1,11/30/21,TRUE
Module 8-2,12/2/21,FALSE
Module 9-1,12/7/21,TRUE
Module 9-2,12/9/21,FALSE